City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Katobu,ID,-4.9408,122.5276,87.71,57,99,2.17,overcast clouds
80,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,75,30.38,broken clouds
81,Georgetown,MY,5.4112,100.3354,84.88,81,20,4.61,few clouds
82,Daru,PG,-9.0763,143.2092,86.63,58,84,10.45,broken clouds
83,Tiksi,RU,71.6872,128.8694,-9.15,90,100,17.96,overcast clouds
84,Tsalka,GE,41.5946,44.0891,24.58,97,100,4.47,light snow
85,Ribeira Grande,PT,38.5167,-28.7,58.77,78,75,20.0,broken clouds
86,Barrow,US,71.2906,-156.7887,1.42,85,0,11.5,clear sky
87,Arman,RU,59.7,150.1667,1.24,81,100,8.75,overcast clouds
88,Hambantota,LK,6.1241,81.1185,79.14,100,40,3.44,scattered clouds
89,Busselton,AU,-33.65,115.3333,73.96,47,46,12.68,scattered clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,72.73,91,98,27.09,overcast clouds
91,Salinas,US,36.6777,-121.6555,55.99,89,100,5.75,moderate rain
92,Dalbandin,PK,28.8947,64.4101,53.15,33,0,5.01,clear sky
93,Verkhoyansk,RU,67.5447,133.385,-10.88,99,100,4.09,overcast clouds
94,Touros,BR,-5.1989,-35.4608,78.04,75,18,13.62,few clouds
95,Lompoc,US,34.6391,-120.4579,61.21,94,100,9.22,overcast clouds
96,Nanortalik,GL,60.1432,-45.2371,22.93,77,3,11.16,clear sky
97,Aklavik,CA,68.2191,-135.0107,9.14,81,81,20.51,broken clouds
98,Puerto Ayora,EC,-0.7393,-90.3518,67.55,98,62,5.99,broken clouds
99,Kaitangata,NZ,-46.2817,169.8464,59.47,64,100,11.97,overcast clouds
100,Port Alfred,ZA,-33.5906,26.891,62.19,92,100,1.99,overcast clouds
101,Deputatskiy,RU,69.3,139.9,-15.99,97,100,4.36,overcast clouds
102,Usinsk,RU,65.9939,57.5281,-3.91,100,94,4.25,overcast clouds
103,Pakxan,LA,18.3778,103.6601,84.87,54,69,3.44,broken clouds
104,Gornopravdinsk,RU,60.05,69.9,13.75,96,99,6.17,overcast clouds
105,Vrangel,RU,42.7297,133.0839,17.24,45,14,17.45,few clouds
106,Bethel,US,41.3712,-73.414,46.49,60,75,9.22,broken clouds
107,Clinton,US,42.587,-82.9199,30.88,72,40,10.36,scattered clouds
108,Katsuura,JP,35.1333,140.3,62.8,56,52,17.81,broken clouds
109,Coahuayana,MX,18.7333,-103.6833,74.98,89,66,2.75,broken clouds
110,San Lorenzo,PY,-25.3333,-57.5333,77.94,88,10,0.0,clear sky
111,Maarianhamina,AX,60.0973,19.9348,28.26,80,75,3.44,broken clouds
112,Cidreira,BR,-30.1811,-50.2056,70.97,97,100,3.02,overcast clouds
113,Yeppoon,AU,-23.1333,150.7333,82.18,62,8,9.98,clear sky
114,Craig,US,40.5153,-107.5464,29.82,68,100,0.0,overcast clouds
115,Taoudenni,ML,22.6783,-3.9836,66.78,21,0,1.9,clear sky
116,Anchorage,US,61.2181,-149.9003,26.67,89,0,0.0,mist
117,Atuona,PF,-9.8,-139.0333,77.9,78,4,15.93,clear sky
118,Bereda,ES,43.2686,-7.5406,34.41,100,13,1.21,few clouds
119,Itarema,BR,-2.9248,-39.9167,79.18,78,23,16.02,few clouds
120,Ambunti,PG,-4.2365,142.8448,82.9,71,100,4.27,overcast clouds
121,Nome,US,64.5011,-165.4064,33.87,93,100,16.11,mist
122,Den Helder,NL,52.9599,4.7593,33.98,82,100,15.01,haze
123,Bundaberg,AU,-24.85,152.35,80.22,64,64,5.99,broken clouds
124,Cherdyn,RU,60.403,56.4787,6.01,97,100,5.35,overcast clouds
125,Kimbe,PG,-5.5502,150.1429,85.28,72,77,5.01,light rain
126,Matagami,CA,49.7502,-77.6328,8.71,85,100,14.97,overcast clouds
127,Bluff,NZ,-46.6,168.3333,52.86,90,100,20.51,light rain
128,Mananjary,MG,-21.2167,48.3333,76.53,84,48,6.15,scattered clouds
129,Taphan Hin,TH,16.2209,100.4198,88.97,64,68,1.25,broken clouds
130,Hay River,CA,60.8156,-115.7999,30.18,74,100,19.57,overcast clouds
131,Tabou,CI,4.423,-7.3528,76.41,87,100,6.2,overcast clouds
132,Itaituba,BR,-4.2761,-55.9836,73.58,99,99,1.52,overcast clouds
133,Hilo,US,19.7297,-155.09,76.28,88,100,9.22,overcast clouds
134,Merrill,US,45.1805,-89.6835,11.97,76,0,5.75,clear sky
135,Cherskiy,RU,68.75,161.3,4.69,97,100,7.45,light snow
136,Marinette,US,45.1,-87.6307,18.09,51,91,11.65,overcast clouds
137,Esmeraldas,BR,-19.7625,-44.3139,67.06,95,100,7.52,overcast clouds
138,Paso De Carrasco,UY,-34.8603,-56.0522,68.95,88,0,0.0,clear sky
139,Norman Wells,CA,65.282,-126.8329,24.84,63,100,28.77,overcast clouds
140,San Quintin,MX,30.4833,-115.95,63.37,70,100,2.84,overcast clouds
141,Poum,NC,-20.2333,164.0167,79.0,84,100,11.77,light rain
142,Port Macquarie,AU,-31.4333,152.9167,74.89,61,43,8.72,scattered clouds
143,Atar,MR,20.5169,-13.0499,63.28,26,0,4.85,clear sky
